User Input,Chatbot Response,Timestamp
hello,Hi there,2024-09-10 01:21:51
how are you ,My purpose is to assist you,2024-09-10 01:21:57
weather ,"I'm sorry, I cannot provide real-time weather information.",2024-09-10 01:22:20
How do I create a budget,"To make a budget, start by tracking your income and expenses. Then, allocate your income towards essential expenses like rent, food, and bills. Next, allocate some of your income towards savings and debt repayment. Finally, allocate the remainder of your income towards discretionary expenses like entertainment and hobbies.",2024-09-10 01:22:30
Today is a nice weather,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:29:52
How's the weather today,"I'm sorry, nice .",2024-10-03 08:30:47
Hi,Hello,2024-10-03 08:30:56
hi,"I'm fine, thank you",2024-12-11 10:50:33
hello,"I'm fine, thank you",2024-12-11 10:59:48
how are you,Nothing much,2024-12-11 10:59:56
how bgt going,"it is really thriller and enjoy "2024-12-11 11:03:26hi,Hello,2024-12-11 11:04:46
how bgt going,"Mindfulness is the practice of being fully present in the moment, observing thoughts and feelings without judgment.",2024-12-11 11:04:57
bye,Take care,2024-12-11 11:05:04
geneus,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2024-12-11 11:05:12
hi i am yash,Hey,2024-12-11 11:05:25
hi i am yash,"I'm fine, thank you",2024-12-11 11:05:49
hi i am yash,Hello,2024-12-11 11:05:55
What's your favorite movie,"I may not have personal preferences, but I can help you find movies based on your taste!",2024-12-11 11:07:00
hi,"I'm fine, thank you",2024-12-11 11:08:03
What's your favorite movie,Pushpa2,2024-12-11 11:08:11
how bgt going,"Mindfulness techniques include meditation, deep breathing, body scanning, and mindful eating.",2024-12-11 11:08:21
What's your favorite movie,Pushpa 2,2024-12-11 12:00:35
